time_step,controller,total_queue,ns_queue,ew_queue,avg_queue_per_intersection,throughput,total_wait_time_seconds,pedestrian_queue,avg_pedestrian_queue_per_intersection,pedestrian_throughput,pedestrian_wait_seconds,pedestrian_phase_active,pedestrian_active_intersections,avg_ns_green,allow_actuated_reallocation,avg_ew_green,emergency_active,emergency_preemption_active,emergency_current_intersection,emergency_delay_seconds,emergency_preemptions,pedestrian_max_estimated_wait_seconds,pedestrian_target_wait_seconds
0,adaptive,0,0,0,0.0,274,0.0,56,5.6,0,3360.0,0,0,27.22869975479066,1,22.771300245209343,0,0,-1,0.0,0,0,180
1,adaptive,0,0,0,0.0,546,0.0,0,0.0,109,3360.0,1,10,28.908186060055705,1,21.091813939944295,0,0,-1,0.0,0,0,180
2,adaptive,0,0,0,0.0,822,0.0,70,7.0,109,7560.0,0,0,28.599976005081963,1,21.400023994918037,0,0,-1,0.0,0,0,180
3,adaptive,0,0,0,0.0,1117,0.0,1,0.1,234,7620.0,1,10,27.996963616284898,1,22.003036383715102,0,0,-1,0.0,0,1200,180
4,adaptive,0,0,0,0.0,1382,0.0,64,6.4,243,11460.0,1,1,27.37081765843241,1,22.62918234156759,0,0,-1,0.0,0,0,180
5,adaptive,0,0,0,0.0,1661,0.0,7,0.7,356,11880.0,1,9,29.75782260206525,1,20.24217739793475,0,0,-1,0.0,0,1200,180
6,adaptive,0,0,0,0.0,1914,0.0,40,4.0,386,14280.0,1,4,28.797946881688205,1,21.2020531183118,0,0,-1,0.0,0,0,180
7,adaptive,0,0,0,0.0,2200,0.0,34,3.4,461,16320.0,1,6,28.965035473595442,1,21.034964526404558,0,0,-1,0.0,0,1200,180
8,adaptive,0,0,0,0.0,2468,0.0,19,1.9,533,17460.0,1,6,29.317991846068033,1,20.682008153931967,0,0,-1,0.0,0,1200,180
9,adaptive,16,7,9,1.6,2774,960.0,30,3.0,577,19260.0,1,5,28.658818838856842,1,21.341181161143158,0,0,-1,0.0,0,0,180
10,adaptive,3,0,3,0.3,3094,1140.0,35,3.5,638,21360.0,1,5,28.3309763573668,1,21.669023642633196,0,0,-1,0.0,0,0,180
11,adaptive,3,0,3,0.3,3366,1320.0,40,4.0,697,23760.0,1,5,29.194134666315584,1,20.805865333684416,0,0,-1,0.0,0,0,180
12,adaptive,1,0,1,0.1,3676,1380.0,41,4.1,769,26220.0,1,5,29.43513380605313,1,20.564866193946877,0,0,-1,0.0,0,1200,180
13,adaptive,0,0,0,0.0,3942,1380.0,28,2.8,847,27900.0,1,7,30.575090772016022,1,19.424909227983978,0,0,-1,0.0,0,2400,180
14,adaptive,1,0,1,0.1,4247,1440.0,28,2.8,900,29580.0,1,5,30.138325505844925,1,19.861674494155075,0,0,-1,0.0,0,0,180
15,adaptive,0,0,0,0.0,4532,1440.0,28,2.8,965,31260.0,1,5,29.784200320733703,1,20.215799679266297,0,0,-1,0.0,0,1200,180
16,adaptive,0,0,0,0.0,4800,1440.0,20,2.0,1029,32460.0,1,6,28.89670097624521,1,21.103299023754786,0,0,-1,0.0,0,0,180
17,adaptive,0,0,0,0.0,5061,1440.0,42,4.2,1075,34980.0,1,4,29.37590885841238,1,20.624091141587623,0,0,-1,0.0,0,0,180
18,adaptive,0,0,0,0.0,5351,1440.0,26,2.6,1150,36540.0,1,6,29.264152900566614,1,20.735847099433382,0,0,-1,0.0,0,0,180
19,adaptive,0,0,0,0.0,5646,1440.0,52,5.2,1195,39660.0,1,4,30.074734904568857,1,19.92526509543114,0,0,-1,0.0,0,0,180
20,adaptive,0,0,0,0.0,5913,1440.0,28,2.8,1275,41340.0,1,6,29.273466238836573,1,20.726533761163427,0,0,-1,0.0,0,1200,180
21,adaptive,0,0,0,0.0,6198,1440.0,17,1.7,1343,42360.0,1,7,29.04213262189245,1,20.95786737810755,0,0,-1,0.0,0,0,180
22,adaptive,1,0,1,0.1,6504,1500.0,40,4.0,1370,44760.0,1,3,29.700818765425833,1,20.29918123457416,0,0,-1,0.0,0,0,180
23,adaptive,3,0,3,0.3,6761,1680.0,15,1.5,1452,45660.0,1,7,30.341486119606156,1,19.658513880393844,0,0,-1,0.0,0,1200,180
24,adaptive,2,0,2,0.2,7039,1800.0,29,2.9,1487,47400.0,1,4,29.305585598389086,1,20.69441440161091,0,0,-1,0.0,0,0,180
25,adaptive,0,0,0,0.0,7344,1800.0,22,2.2,1560,48720.0,1,6,30.014624691002506,1,19.985375308997494,0,0,-1,0.0,0,0,180
26,adaptive,0,0,0,0.0,7617,1800.0,40,4.0,1602,51120.0,1,4,28.93735979682493,1,21.062640203175075,0,0,-1,0.0,0,1200,180
27,adaptive,0,0,0,0.0,7889,1800.0,27,2.7,1680,52740.0,1,7,29.240313362076353,1,20.759686637923647,0,0,-1,0.0,0,1200,180
28,adaptive,0,0,0,0.0,8195,1800.0,39,3.9,1730,55080.0,1,5,27.524485134701774,1,22.475514865298226,0,0,-1,0.0,0,1200,180
29,adaptive,1,0,1,0.1,8450,1860.0,26,2.6,1797,56640.0,1,6,28.651811174613822,1,21.34818882538618,0,0,-1,0.0,0,1200,180
30,adaptive,0,0,0,0.0,8717,1860.0,36,3.6,1853,58800.0,1,5,28.41177075843263,1,21.58822924156737,0,0,-1,0.0,0,0,180
31,adaptive,1,0,1,0.1,8984,1920.0,26,2.6,1916,60360.0,1,5,29.1599432836225,1,20.840056716377497,0,0,-1,0.0,0,0,180
32,adaptive,0,0,0,0.0,9248,1920.0,28,2.8,1970,62040.0,1,5,29.754179290617447,1,20.245820709382556,0,0,-1,0.0,0,0,180
33,adaptive,0,0,0,0.0,9531,1920.0,33,3.3,2017,64020.0,1,5,28.45312552434185,1,21.54687447565815,0,0,-1,0.0,0,0,180
34,adaptive,0,0,0,0.0,9814,1920.0,23,2.3,2080,65400.0,1,5,28.679129990486608,1,21.320870009513392,0,0,-1,0.0,0,0,180
35,adaptive,0,0,0,0.0,10101,1920.0,27,2.7,2122,67020.0,1,4,28.758020795799286,1,21.241979204200714,0,0,-1,0.0,0,0,180
36,adaptive,0,0,0,0.0,10382,1920.0,27,2.7,2183,68640.0,1,6,30.35664295424764,1,19.64335704575236,0,0,-1,0.0,0,0,180
37,adaptive,6,3,3,0.6,10691,2280.0,35,3.5,2232,70740.0,1,4,29.157232491792286,1,20.84276750820771,0,0,-1,0.0,0,0,180
38,adaptive,0,0,0,0.0,10981,2280.0,25,2.5,2290,72240.0,1,6,28.399318311904455,1,21.60068168809554,0,0,-1,0.0,0,0,180
39,adaptive,0,0,0,0.0,11235,2280.0,33,3.3,2337,74220.0,1,4,26.565246289441326,1,23.434753710558677,0,0,-1,0.0,0,1200,180
40,adaptive,3,0,3,0.3,11551,2460.0,19,1.9,2412,75360.0,1,7,28.159333683096985,1,21.84066631690301,0,0,-1,0.0,0,0,180
41,adaptive,0,0,0,0.0,11833,2460.0,43,4.3,2443,77940.0,1,3,27.2644766096966,1,22.735523390303403,0,0,-1,0.0,0,0,180
42,adaptive,0,0,0,0.0,12098,2460.0,19,1.9,2526,79080.0,1,7,28.927549187028312,1,21.07245081297169,0,0,-1,0.0,0,1200,180
43,adaptive,0,0,0,0.0,12389,2460.0,45,4.5,2568,81780.0,1,4,28.709223322356205,1,21.290776677643795,0,0,-1,0.0,0,0,180
44,adaptive,0,0,0,0.0,12665,2460.0,14,1.4,2641,82620.0,1,6,28.556770187021886,1,21.443229812978117,0,0,-1,0.0,0,0,180
45,adaptive,1,0,1,0.1,12926,2520.0,35,3.5,2674,84720.0,1,4,27.36291672458043,1,22.637083275419567,0,0,-1,0.0,0,0,180
46,adaptive,0,0,0,0.0,13186,2520.0,18,1.8,2746,85800.0,1,6,29.320300226691863,1,20.679699773308137,0,0,-1,0.0,0,1200,180
47,adaptive,0,0,0,0.0,13484,2520.0,33,3.3,2799,87780.0,1,5,30.080584047666026,1,19.919415952333974,0,0,-1,0.0,0,0,180
48,adaptive,8,3,5,0.8,13798,3000.0,30,3.0,2864,89580.0,1,5,29.131138528665424,1,20.868861471334583,0,0,-1,0.0,0,0,180
49,adaptive,0,0,0,0.0,14103,3000.0,22,2.2,2928,90900.0,1,5,29.8414452896113,1,20.158554710388703,0,0,-1,0.0,0,1200,180
50,adaptive,0,0,0,0.0,14373,3000.0,17,1.7,2992,91920.0,1,6,29.414062411467217,1,20.585937588532783,0,0,-1,0.0,0,0,180
51,adaptive,0,0,0,0.0,14648,3000.0,35,3.5,3037,94020.0,1,4,28.97395975508251,1,21.02604024491749,0,0,-1,0.0,0,0,180
52,adaptive,12,4,8,1.2,14954,3720.0,29,2.9,3113,95760.0,1,6,29.26878694026228,1,20.73121305973772,0,0,-1,0.0,0,1200,180
53,adaptive,0,0,0,0.0,15242,3720.0,35,3.5,3166,97860.0,1,5,28.707089631300782,1,21.292910368699214,0,0,-1,0.0,0,0,180
54,adaptive,2,0,2,0.2,15538,3840.0,32,3.2,3226,99780.0,1,5,29.232998666107893,1,20.767001333892104,0,0,-1,0.0,0,1200,180
55,adaptive,5,4,1,0.5,15811,4140.0,29,2.9,3296,101520.0,1,6,28.415375565344977,1,21.58462443465503,0,0,-1,0.0,0,0,180
56,adaptive,1,0,1,0.1,16094,4200.0,39,3.9,3341,103860.0,1,4,26.85378663654768,1,23.14621336345232,0,0,-1,0.0,0,0,180
57,adaptive,0,0,0,0.0,16402,4200.0,28,2.8,3413,105540.0,1,6,29.599047324239827,1,20.400952675760173,0,0,-1,0.0,0,0,180
58,adaptive,0,0,0,0.0,16693,4200.0,36,3.6,3461,107700.0,1,4,30.001939342039712,1,19.998060657960284,0,0,-1,0.0,0,0,180
