time_step,controller,total_queue,ns_queue,ew_queue,avg_queue_per_intersection,throughput,total_wait_time_seconds,pedestrian_queue,avg_pedestrian_queue_per_intersection,pedestrian_throughput,pedestrian_wait_seconds,pedestrian_phase_active,pedestrian_active_intersections,avg_ns_green,avg_ew_green
0,enhanced_adaptive,15,0,15,1.5,314,900.0,59,5.9,0,3540.0,0,0,35.14072065896016,14.859279341039832
1,enhanced_adaptive,5,0,5,0.5,642,1200.0,114,11.4,0,10380.0,0,0,32.145769118621146,17.854230881378847
2,enhanced_adaptive,26,3,23,2.6,929,2760.0,110,11.0,75,16980.0,1,5,33.182745668017084,16.817254331982923
3,enhanced_adaptive,6,0,6,0.6,1237,3120.0,113,11.3,135,23760.0,1,4,31.27957817048856,18.72042182951144
4,enhanced_adaptive,2,0,2,0.2,1546,3240.0,169,16.9,150,33900.0,1,1,30.109945710925285,19.89005428907472
5,enhanced_adaptive,12,0,12,1.2,1836,3960.0,145,14.5,225,42600.0,1,5,31.63924912626542,18.360750873734585
6,enhanced_adaptive,6,0,6,0.6,2121,4320.0,149,14.9,285,51540.0,1,4,31.93693569179584,18.063064308204158
7,enhanced_adaptive,4,0,4,0.4,2424,4560.0,213,21.3,300,64320.0,1,1,31.49440824344283,18.505591756557163
8,enhanced_adaptive,22,0,22,2.2,2716,5880.0,200,20.0,375,76320.0,1,5,32.52538377505864,17.47461622494136
9,enhanced_adaptive,25,3,22,2.5,3033,7380.0,206,20.6,435,88680.0,1,4,31.170660742506943,18.829339257493054
10,enhanced_adaptive,20,0,20,2.0,3358,8580.0,258,25.8,450,104160.0,1,1,29.83251624850319,20.167483751496807
11,enhanced_adaptive,35,4,31,3.5,3665,10680.0,243,24.3,525,118740.0,1,5,31.772731611081742,18.227268388918258
12,enhanced_adaptive,35,3,32,3.5,3999,12780.0,248,24.8,585,133620.0,1,4,32.50913921088642,17.490860789113583
13,enhanced_adaptive,20,0,20,2.0,4300,13980.0,297,29.7,600,151440.0,1,1,33.16490294016657,16.83509705983343
14,enhanced_adaptive,23,1,22,2.3,4611,15360.0,273,27.3,675,167820.0,1,5,33.2793442725304,16.720655727469598
15,enhanced_adaptive,17,0,17,1.7,4919,16380.0,264,26.4,735,183660.0,1,4,32.97770431675126,17.022295683248736
16,enhanced_adaptive,20,0,20,2.0,5224,17580.0,308,30.8,750,202140.0,1,1,32.99206637600041,17.007933623999588
17,enhanced_adaptive,20,0,20,2.0,5526,18780.0,292,29.2,825,219660.0,1,5,32.47588647953599,17.524113520464013
18,enhanced_adaptive,26,0,26,2.6,5838,20340.0,301,30.1,885,237720.0,1,4,30.380669638169316,19.619330361830688
19,enhanced_adaptive,20,0,20,2.0,6155,21540.0,360,36.0,900,259320.0,1,1,32.58486021323071,17.415139786769288
20,enhanced_adaptive,72,15,57,7.2,6475,25860.0,337,33.7,975,279540.0,1,5,33.85963239110024,16.14036760889977
