queue_weight,prediction_weight,pedestrian_weight,pressure_exponent,adaptive_min_green,avg_wait_seconds,throughput,final_queue,max_queue,pedestrian_avg_wait_seconds,pedestrian_final_queue
5.0,0.0,0.0,1.0,5,474.0806172325362,42117,3506,7029,726.3001649257834,1351
5.0,0.0,0.0,1.0,8,474.0806172325362,42117,3506,7029,726.3001649257834,1351
1.0,0.0,0.0,1.0,5,474.30024329833634,42116,3507,7031,726.3001649257834,1351
1.0,0.0,0.0,1.0,8,474.30024329833634,42116,3507,7031,726.3001649257834,1351
2.0,0.0,0.0,1.0,5,474.30024329833634,42116,3507,7031,726.3001649257834,1351
2.0,0.0,0.0,1.0,8,474.30024329833634,42116,3507,7031,726.3001649257834,1351
1.0,2.0,0.1,1.0,5,474.3712601100322,42119,3504,7028,726.3001649257834,1351
1.0,2.0,0.1,1.0,8,474.3712601100322,42119,3504,7028,726.3001649257834,1351
5.0,1.0,0.0,1.0,8,474.646121473818,42113,3510,7034,726.3001649257834,1351
5.0,1.0,0.0,1.0,5,474.646121473818,42113,3510,7034,726.3001649257834,1351
5.0,0.0,0.1,1.0,5,474.82234837691516,42111,3512,7037,726.3001649257834,1351
5.0,0.0,0.1,1.0,8,474.82234837691516,42111,3512,7037,726.3001649257834,1351
1.0,2.0,0.0,1.0,5,474.9814786401596,42113,3510,7033,726.3001649257834,1351
1.0,2.0,0.0,1.0,8,474.9814786401596,42113,3510,7033,726.3001649257834,1351
5.0,1.0,0.1,1.0,5,475.47596606974554,42104,3519,7042,726.3001649257834,1351
5.0,1.0,0.1,1.0,8,475.47596606974554,42104,3519,7042,726.3001649257834,1351
2.0,0.0,0.1,1.0,8,475.56670977357913,42106,3517,7043,726.3001649257834,1351
2.0,0.0,0.1,1.0,5,475.56670977357913,42106,3517,7043,726.3001649257834,1351
1.0,0.0,0.1,1.0,5,475.6258904499923,42106,3517,7042,726.3001649257834,1351
1.0,0.0,0.1,1.0,8,475.6258904499923,42106,3517,7042,726.3001649257834,1351
5.0,2.0,0.1,1.0,5,475.9257392104859,42102,3521,7045,726.3001649257834,1351
5.0,2.0,0.1,1.0,8,475.9257392104859,42102,3521,7045,726.3001649257834,1351
2.0,2.0,0.1,1.0,5,475.9993862744668,42104,3519,7047,726.3001649257834,1351
2.0,2.0,0.1,1.0,8,475.9993862744668,42104,3519,7047,726.3001649257834,1351
1.0,1.0,0.1,1.0,5,476.04804594173993,42104,3519,7044,726.3001649257834,1351
1.0,1.0,0.1,1.0,8,476.04804594173993,42104,3519,7044,726.3001649257834,1351
1.0,1.0,0.0,1.0,5,476.0611972031651,42104,3519,7047,726.3001649257834,1351
1.0,1.0,0.0,1.0,8,476.0611972031651,42104,3519,7047,726.3001649257834,1351
2.0,2.0,0.0,1.0,5,476.0611972031651,42104,3519,7047,726.3001649257834,1351
