feature,importance
peak_multiplier,0.707415541081467
rolling_mean_5_vehicle_demand,0.08822311130928784
time_step,0.06447359283167306
intersection_multiplier,0.028631802573278034
direction_multiplier,0.024161414405179698
event_multiplier,0.02402714634517439
hour_cos,0.0200774799563011
rolling_mean_3_vehicle_demand,0.012807261918676052
lag_1_vehicle_demand,0.008197804449166703
intersection_id,0.00712588522163039
pedestrian_demand,0.006724183416935046
direction_is_ns,0.0054738532253651075
hour,0.0007783700144964938
rain_level,0.0005123516827994412
weather_capacity_multiplier,0.0005037573161852092
hour_sin,0.000438066133910972
weather_demand_multiplier,0.00041046300085679143
accident_active,1.7915117616514388e-05
