time_step,controller,total_queue,ns_queue,ew_queue,avg_queue_per_intersection,throughput,total_wait_time_seconds,pedestrian_queue,avg_pedestrian_queue_per_intersection,pedestrian_throughput,pedestrian_wait_seconds,pedestrian_phase_active,pedestrian_active_intersections,avg_ns_green,avg_ew_green
0,fixed_calibrated,1,0,1,0.1,328,60.0,59,5.9,0,3540.0,0,0,29.084070973498303,20.915929026501697
1,fixed_calibrated,2,2,0,0.2,645,180.0,114,11.4,0,10380.0,0,0,29.084070973498303,20.915929026501697
2,fixed_calibrated,14,11,3,1.4,941,1020.0,110,11.0,75,16980.0,1,5,29.084070973498303,20.915929026501697
3,fixed_calibrated,8,4,4,0.8,1235,1500.0,113,11.3,135,23760.0,1,4,29.084070973498303,20.915929026501697
4,fixed_calibrated,1,0,1,0.1,1547,1560.0,169,16.9,150,33900.0,1,1,29.084070973498303,20.915929026501697
5,fixed_calibrated,10,3,7,1.0,1838,2160.0,145,14.5,225,42600.0,1,5,29.084070973498303,20.915929026501697
6,fixed_calibrated,2,0,2,0.2,2125,2280.0,149,14.9,285,51540.0,1,4,29.084070973498303,20.915929026501697
7,fixed_calibrated,1,0,1,0.1,2427,2340.0,213,21.3,300,64320.0,1,1,29.084070973498303,20.915929026501697
8,fixed_calibrated,12,3,9,1.2,2726,3060.0,200,20.0,375,76320.0,1,5,29.084070973498303,20.915929026501697
9,fixed_calibrated,18,7,11,1.8,3040,4140.0,206,20.6,435,88680.0,1,4,29.084070973498303,20.915929026501697
10,fixed_calibrated,14,0,14,1.4,3364,4980.0,258,25.8,450,104160.0,1,1,29.084070973498303,20.915929026501697
11,fixed_calibrated,29,8,21,2.9,3671,6720.0,243,24.3,525,118740.0,1,5,29.084070973498303,20.915929026501697
12,fixed_calibrated,26,7,19,2.6,4008,8280.0,248,24.8,585,133620.0,1,4,29.084070973498303,20.915929026501697
13,fixed_calibrated,18,4,14,1.8,4302,9360.0,297,29.7,600,151440.0,1,1,29.084070973498303,20.915929026501697
14,fixed_calibrated,17,9,8,1.7,4617,10380.0,273,27.3,675,167820.0,1,5,29.084070973498303,20.915929026501697
15,fixed_calibrated,3,2,1,0.3,4933,10560.0,264,26.4,735,183660.0,1,4,29.084070973498303,20.915929026501697
16,fixed_calibrated,7,7,0,0.7,5237,10980.0,308,30.8,750,202140.0,1,1,29.084070973498303,20.915929026501697
17,fixed_calibrated,8,4,4,0.8,5538,11460.0,292,29.2,825,219660.0,1,5,29.084070973498303,20.915929026501697
18,fixed_calibrated,18,0,18,1.8,5846,12540.0,301,30.1,885,237720.0,1,4,29.084070973498303,20.915929026501697
19,fixed_calibrated,4,0,4,0.4,6171,12780.0,360,36.0,900,259320.0,1,1,29.084070973498303,20.915929026501697
20,fixed_calibrated,57,43,14,5.7,6490,16200.0,337,33.7,975,279540.0,1,5,29.084070973498303,20.915929026501697
21,fixed_calibrated,73,48,25,7.3,6793,20580.0,336,33.6,1035,299700.0,1,4,29.084070973498303,20.915929026501697
22,fixed_calibrated,114,67,47,11.4,7126,27420.0,391,39.1,1050,323160.0,1,1,29.084070973498303,20.915929026501697
23,fixed_calibrated,148,84,64,14.8,7439,36300.0,364,36.4,1125,345000.0,1,5,29.084070973498303,20.915929026501697
24,fixed_calibrated,197,109,88,19.7,7755,48120.0,355,35.5,1185,366300.0,1,4,29.084070973498303,20.915929026501697
25,fixed_calibrated,216,131,85,21.6,8094,61080.0,410,41.0,1200,390900.0,1,1,29.084070973498303,20.915929026501697
26,fixed_calibrated,228,136,92,22.8,8417,74760.0,392,39.2,1275,414420.0,1,5,29.084070973498303,20.915929026501697
27,fixed_calibrated,283,154,129,28.3,8740,91740.0,391,39.1,1335,437880.0,1,4,29.084070973498303,20.915929026501697
28,fixed_calibrated,312,151,161,31.2,9078,110460.0,429,42.9,1350,463620.0,1,1,29.084070973498303,20.915929026501697
29,fixed_calibrated,319,154,165,31.9,9388,129600.0,403,40.3,1425,487800.0,1,5,29.084070973498303,20.915929026501697
30,fixed_calibrated,360,173,187,36.0,9717,151200.0,411,41.1,1485,512460.0,1,4,29.084070973498303,20.915929026501697
31,fixed_calibrated,360,162,198,36.0,10051,172800.0,456,45.6,1500,539820.0,1,1,29.084070973498303,20.915929026501697
32,fixed_calibrated,412,195,217,41.2,10357,197520.0,435,43.5,1575,565920.0,1,5,29.084070973498303,20.915929026501697
33,fixed_calibrated,428,214,214,42.8,10680,223200.0,434,43.4,1635,591960.0,1,4,29.084070973498303,20.915929026501697
34,fixed_calibrated,442,221,221,44.2,11017,249720.0,474,47.4,1650,620400.0,1,1,29.084070973498303,20.915929026501697
35,fixed_calibrated,494,254,240,49.4,11332,279360.0,459,45.9,1725,647940.0,1,5,29.084070973498303,20.915929026501697
