time_step,controller,total_queue,ns_queue,ew_queue,avg_queue_per_intersection,throughput,total_wait_time_seconds,pedestrian_queue,avg_pedestrian_queue_per_intersection,pedestrian_throughput,pedestrian_wait_seconds,pedestrian_phase_active,pedestrian_active_intersections,avg_ns_green,allow_actuated_reallocation,avg_ew_green,emergency_active,emergency_preemption_active,emergency_current_intersection,emergency_delay_seconds,emergency_preemptions,pedestrian_max_estimated_wait_seconds,pedestrian_target_wait_seconds
0,fixed_equal,0,0,0,0.0,112,0.0,0,0.0,11,0.0,1,4,25.0,0,25.0,0,0,-1,0.0,0,0.0,180
1,fixed_equal,0,0,0,0.0,225,0.0,7,1.75,11,420.0,0,0,25.0,0,25.0,0,0,-1,0.0,0,60.0,180
2,fixed_equal,0,0,0,0.0,333,0.0,15,3.75,11,1320.0,0,0,25.0,0,25.0,0,0,-1,0.0,0,120.0,180
3,fixed_equal,3,3,0,0.75,476,180.0,19,4.75,11,2460.0,0,0,25.0,0,25.0,0,0,-1,0.0,0,180.0,180
4,fixed_equal,0,0,0,0.0,610,180.0,27,6.75,11,4080.0,0,0,25.0,0,25.0,0,0,-1,0.0,0,240.0,180
5,fixed_equal,0,0,0,0.0,716,180.0,38,9.5,11,6360.0,0,0,25.0,0,25.0,0,0,-1,0.0,0,300.0,180
6,fixed_equal,2,2,0,0.5,836,300.0,0,0.0,58,6360.0,1,4,25.0,0,25.0,0,0,-1,0.0,0,0.0,180
7,fixed_equal,0,0,0,0.0,931,300.0,5,1.25,58,6660.0,0,0,25.0,0,25.0,0,0,-1,0.0,0,60.0,180
8,fixed_equal,0,0,0,0.0,1051,300.0,14,3.5,58,7500.0,0,0,25.0,0,25.0,0,0,-1,0.0,0,120.0,180
9,fixed_equal,2,2,0,0.5,1182,420.0,23,5.75,58,8880.0,0,0,25.0,0,25.0,0,0,-1,0.0,0,180.0,180
10,fixed_equal,0,0,0,0.0,1293,420.0,31,7.75,58,10740.0,0,0,25.0,0,25.0,0,0,-1,0.0,0,240.0,180
11,fixed_equal,0,0,0,0.0,1400,420.0,35,8.75,58,12840.0,0,0,25.0,0,25.0,0,0,-1,0.0,0,300.0,180
12,fixed_equal,0,0,0,0.0,1509,420.0,0,0.0,100,12840.0,1,4,25.0,0,25.0,0,0,-1,0.0,0,0.0,180
13,fixed_equal,0,0,0,0.0,1613,420.0,4,1.0,100,13080.0,0,0,25.0,0,25.0,0,0,-1,0.0,0,60.0,180
14,fixed_equal,0,0,0,0.0,1705,420.0,10,2.5,100,13680.0,0,0,25.0,0,25.0,0,0,-1,0.0,0,120.0,180
15,fixed_equal,0,0,0,0.0,1810,420.0,21,5.25,100,14940.0,0,0,25.0,0,25.0,0,0,-1,0.0,0,180.0,180
16,fixed_equal,0,0,0,0.0,1925,420.0,34,8.5,100,16980.0,0,0,25.0,0,25.0,0,0,-1,0.0,0,240.0,180
17,fixed_equal,0,0,0,0.0,2037,420.0,44,11.0,100,19620.0,0,0,25.0,0,25.0,0,0,-1,0.0,0,300.0,180
18,fixed_equal,9,9,0,2.25,2130,960.0,0,0.0,157,19620.0,1,4,25.0,0,25.0,0,0,-1,0.0,0,0.0,180
19,fixed_equal,3,3,0,0.75,2255,1140.0,5,1.25,157,19920.0,0,0,25.0,0,25.0,0,0,-1,0.0,0,60.0,180
20,fixed_equal,0,0,0,0.0,2355,1140.0,10,2.5,157,20520.0,0,0,25.0,0,25.0,0,0,-1,0.0,0,120.0,180
21,fixed_equal,2,2,0,0.5,2493,1260.0,17,4.25,157,21540.0,0,0,25.0,0,25.0,0,0,-1,0.0,0,180.0,180
22,fixed_equal,5,5,0,1.25,2625,1560.0,25,6.25,157,23040.0,0,0,25.0,0,25.0,0,0,-1,0.0,0,240.0,180
23,fixed_equal,0,0,0,0.0,2729,1560.0,35,8.75,157,25140.0,0,0,25.0,0,25.0,0,0,-1,0.0,0,300.0,180
24,fixed_equal,3,3,0,0.75,2846,1740.0,0,0.0,196,25140.0,1,4,25.0,0,25.0,0,0,-1,0.0,0,0.0,180
25,fixed_equal,0,0,0,0.0,2953,1740.0,11,2.75,196,25800.0,0,0,25.0,0,25.0,0,0,-1,0.0,0,60.0,180
26,fixed_equal,0,0,0,0.0,3078,1740.0,20,5.0,196,27000.0,0,0,25.0,0,25.0,0,0,-1,0.0,0,120.0,180
27,fixed_equal,0,0,0,0.0,3191,1740.0,30,7.5,196,28800.0,0,0,25.0,0,25.0,0,0,-1,0.0,0,180.0,180
28,fixed_equal,0,0,0,0.0,3282,1740.0,44,11.0,196,31440.0,0,0,25.0,0,25.0,0,0,-1,0.0,0,240.0,180
29,fixed_equal,0,0,0,0.0,3388,1740.0,52,13.0,196,34560.0,0,0,25.0,0,25.0,0,0,-1,0.0,0,300.0,180
