generation,best_fitness,mean_fitness,best_avg_wait_seconds,best_throughput,best_final_queue,best_max_queue
0,579.2996719291675,660.7198092365563,448.7933717642417,42498,3125,6728
1,579.2996719291675,617.4326248257328,448.7933717642417,42498,3125,6728
2,579.2996719291675,598.7930347683605,448.7933717642417,42498,3125,6728
3,579.2996719291675,593.0270302722729,448.7933717642417,42498,3125,6728
4,579.2996719291675,591.1220266351272,448.7933717642417,42498,3125,6728
5,579.2996719291675,590.4962616358396,448.7933717642417,42498,3125,6728
6,579.2996719291675,589.3533865783029,448.7933717642417,42498,3125,6728
7,579.2996719291675,589.2102506805647,448.7933717642417,42498,3125,6728
8,576.7719701121015,587.4733711324202,446.8456699471758,42528,3095,6730
9,576.7719701121015,586.0853760490742,446.8456699471758,42528,3095,6730
10,575.7495708836421,585.0451346549307,445.8632707187164,42520,3103,6710
11,575.7495708836421,585.0371391195101,445.8632707187164,42520,3103,6710
12,575.7495708836421,584.0553554591304,445.8632707187164,42520,3103,6710
13,575.7495708836421,583.7159956721262,445.8632707187164,42520,3103,6710
14,575.7495708836421,584.1394355557923,445.8632707187164,42520,3103,6710
15,573.0957892384193,583.7095825964844,443.9694890734936,42553,3070,6700
16,573.0957892384193,583.0605057533899,443.9694890734936,42553,3070,6700
17,572.9382472091797,582.8494383846833,443.791947044254,42555,3068,6706
18,572.9382472091797,582.0006945013898,443.791947044254,42555,3068,6706
19,572.9382472091797,582.7382331469195,443.791947044254,42555,3068,6706
