time_step,controller,total_queue,ns_queue,ew_queue,avg_queue_per_intersection,throughput,total_wait_time_seconds,pedestrian_queue,avg_pedestrian_queue_per_intersection,pedestrian_throughput,pedestrian_wait_seconds,pedestrian_phase_active,pedestrian_active_intersections,avg_ns_green,allow_actuated_reallocation,avg_ew_green,emergency_active,emergency_preemption_active,emergency_current_intersection,emergency_delay_seconds,emergency_preemptions,pedestrian_max_estimated_wait_seconds,pedestrian_target_wait_seconds
0,ga_timing_plan,0,0,0,0.0,329,0.0,59,5.9,0,3540.0,0,0,28.414689039381138,1,21.585310960618862,0,0,-1,0.0,0,0,180
1,ga_timing_plan,14,6,8,1.4,633,840.0,0,0.0,114,3540.0,1,10,28.414689039381138,1,21.585310960618862,0,0,-1,0.0,0,0,180
2,ga_timing_plan,4,1,3,0.4,951,1080.0,71,7.1,114,7800.0,0,0,28.414689039381138,1,21.585310960618862,0,0,-1,0.0,0,0,180
3,ga_timing_plan,7,0,7,0.7,1236,1500.0,5,0.5,243,8100.0,1,10,28.414689039381138,1,21.585310960618862,0,0,-1,0.0,0,1200,180
4,ga_timing_plan,7,0,7,0.7,1541,1920.0,57,5.7,262,11520.0,1,2,28.414689039381138,1,21.585310960618862,0,0,-1,0.0,0,0,180
5,ga_timing_plan,7,0,7,0.7,1841,2340.0,11,1.1,359,12180.0,1,8,28.414689039381138,1,21.585310960618862,0,0,-1,0.0,0,1200,180
6,ga_timing_plan,5,0,5,0.5,2122,2640.0,39,3.9,395,14520.0,1,4,28.414689039381138,1,21.585310960618862,0,0,-1,0.0,0,0,180
7,ga_timing_plan,6,5,1,0.6,2422,3000.0,40,4.0,473,16920.0,1,6,28.414689039381138,1,21.585310960618862,0,0,-1,0.0,0,1200,180
8,ga_timing_plan,6,0,6,0.6,2732,3360.0,24,2.4,551,18360.0,1,6,28.414689039381138,1,21.585310960618862,0,0,-1,0.0,0,1200,180
9,ga_timing_plan,18,7,11,1.8,3040,4440.0,29,2.9,612,20100.0,1,6,28.414689039381138,1,21.585310960618862,0,0,-1,0.0,0,0,180
10,ga_timing_plan,7,0,7,0.7,3371,4860.0,40,4.0,668,22500.0,1,4,28.414689039381138,1,21.585310960618862,0,0,-1,0.0,0,1200,180
11,ga_timing_plan,20,11,9,2.0,3680,6060.0,23,2.3,745,23880.0,1,7,28.414689039381138,1,21.585310960618862,0,0,-1,0.0,0,1200,180
12,ga_timing_plan,12,11,1,1.2,4022,6780.0,38,3.8,795,26160.0,1,4,28.414689039381138,1,21.585310960618862,0,0,-1,0.0,0,1200,180
13,ga_timing_plan,9,5,4,0.9,4311,7320.0,23,2.3,874,27540.0,1,7,28.414689039381138,1,21.585310960618862,0,0,-1,0.0,0,1200,180
14,ga_timing_plan,8,2,6,0.8,4626,7800.0,32,3.2,916,29460.0,1,4,28.414689039381138,1,21.585310960618862,0,0,-1,0.0,0,0,180
15,ga_timing_plan,15,0,15,1.5,4921,8700.0,21,2.1,978,30720.0,1,6,28.414689039381138,1,21.585310960618862,0,0,-1,0.0,0,0,180
16,ga_timing_plan,17,2,15,1.7,5227,9720.0,32,3.2,1026,32640.0,1,4,28.414689039381138,1,21.585310960618862,0,0,-1,0.0,0,0,180
17,ga_timing_plan,9,5,4,0.9,5537,10260.0,28,2.8,1089,34320.0,1,6,28.414689039381138,1,21.585310960618862,0,0,-1,0.0,0,0,180
18,ga_timing_plan,19,0,19,1.9,5845,11400.0,49,4.9,1137,37260.0,1,4,28.414689039381138,1,21.585310960618862,0,0,-1,0.0,0,1200,180
19,ga_timing_plan,10,1,9,1.0,6165,12000.0,33,3.3,1227,39240.0,1,7,28.414689039381138,1,21.585310960618862,0,0,-1,0.0,0,1200,180
20,ga_timing_plan,78,51,27,7.8,6469,16680.0,19,1.9,1293,40380.0,1,7,26.687623475175286,1,23.312376524824714,0,0,-1,0.0,0,1200,180
21,ga_timing_plan,75,36,39,7.5,6791,21180.0,31,3.1,1340,42240.0,1,4,26.687623475175286,1,23.312376524824714,0,0,-1,0.0,0,0,180
22,ga_timing_plan,136,70,66,13.6,7104,29340.0,31,3.1,1410,44100.0,1,6,26.687623475175286,1,23.312376524824714,0,0,-1,0.0,0,0,180
23,ga_timing_plan,158,86,72,15.8,7429,38820.0,25,2.5,1464,45600.0,1,4,26.687623475175286,1,23.312376524824714,0,0,-1,0.0,0,1200,180
