time_step,controller,total_queue,ns_queue,ew_queue,avg_queue_per_intersection,throughput,total_wait_time_seconds,pedestrian_queue,avg_pedestrian_queue_per_intersection,pedestrian_throughput,pedestrian_wait_seconds,pedestrian_phase_active,pedestrian_active_intersections,avg_ns_green,allow_actuated_reallocation,avg_ew_green,emergency_active,emergency_preemption_active,emergency_current_intersection,emergency_delay_seconds,emergency_preemptions,pedestrian_max_estimated_wait_seconds,pedestrian_target_wait_seconds
0,scipy_mpc,29,1,28,2.9,300,1740.0,0,0.0,59,0.0,1,10,32.8942782422029,1,17.105721757797106,0,0,-1,0.0,0,0.0,180
1,scipy_mpc,3,0,3,0.3,644,1920.0,55,5.5,59,3300.0,0,0,29.499831477114746,1,20.500168522885254,0,0,-1,0.0,0,60.0,180
2,scipy_mpc,4,0,4,0.4,951,2160.0,126,12.6,59,10860.0,0,0,30.84360130653434,1,19.156398693465658,0,0,-1,0.0,0,120.0,180
3,scipy_mpc,0,0,0,0.0,1243,2160.0,189,18.9,59,22200.0,0,0,29.927625793983957,1,20.07237420601604,0,0,-1,0.0,0,180.0,180
4,scipy_mpc,0,0,0,0.0,1548,2160.0,260,26.0,59,37800.0,0,0,28.5115072832673,1,21.4884927167327,0,0,-1,0.0,0,240.0,180
5,scipy_mpc,1,0,1,0.1,1847,2220.0,311,31.1,59,56460.0,0,0,29.289531590023437,1,20.710468409976563,0,0,-1,0.0,0,300.0,180
6,scipy_mpc,2,0,2,0.2,2125,2340.0,9,0.9,425,57000.0,1,10,30.113125678953963,1,19.886874321046037,0,0,-1,0.0,0,0.0,180
7,scipy_mpc,1,0,1,0.1,2427,2400.0,88,8.8,425,62280.0,0,0,29.406800991712714,1,20.593199008287286,0,0,-1,0.0,0,60.0,180
8,scipy_mpc,0,0,0,0.0,2738,2400.0,150,15.0,425,71280.0,0,0,30.135665575712892,1,19.86433442428711,0,0,-1,0.0,0,120.0,180
9,scipy_mpc,6,0,6,0.6,3052,2760.0,216,21.6,425,84240.0,0,0,30.65531060862162,1,19.344689391378388,0,0,-1,0.0,0,180.0,180
10,scipy_mpc,0,0,0,0.0,3378,2760.0,283,28.3,425,101220.0,0,0,28.144220753310442,1,21.855779246689558,0,0,-1,0.0,0,240.0,180
11,scipy_mpc,4,0,4,0.4,3696,3000.0,343,34.3,425,121800.0,0,0,30.24599594660604,1,19.754004053393963,0,0,-1,0.0,0,300.0,180
12,scipy_mpc,24,1,23,2.4,4010,4440.0,35,3.5,798,123900.0,1,10,31.598549194589406,1,18.40145080541059,0,0,-1,0.0,0,0.0,180
13,scipy_mpc,5,0,5,0.5,4315,4740.0,99,9.9,798,129840.0,0,0,30.63193843218199,1,19.36806156781801,0,0,-1,0.0,0,60.0,180
14,scipy_mpc,5,0,5,0.5,4629,5040.0,150,15.0,798,138840.0,0,0,31.971155697324104,1,18.028844302675896,0,0,-1,0.0,0,120.0,180
15,scipy_mpc,2,0,2,0.2,4934,5160.0,201,20.1,798,150900.0,0,0,31.038783808441043,1,18.96121619155896,0,0,-1,0.0,0,180.0,180
16,scipy_mpc,4,0,4,0.4,5240,5400.0,260,26.0,798,166500.0,0,0,31.252285382787118,1,18.747714617212875,0,0,-1,0.0,0,240.0,180
17,scipy_mpc,1,0,1,0.1,5545,5460.0,319,31.9,798,185640.0,0,0,31.039019874238193,1,18.960980125761807,0,0,-1,0.0,0,300.0,180
18,scipy_mpc,18,3,15,1.8,5846,6540.0,23,2.3,1163,187020.0,1,10,28.793478325176245,1,21.20652167482375,0,0,-1,0.0,0,0.0,180
19,scipy_mpc,7,0,7,0.7,6168,6960.0,97,9.7,1163,192840.0,0,0,30.59487013118211,1,19.40512986881789,0,0,-1,0.0,0,60.0,180
20,scipy_mpc,38,2,36,3.8,6509,9240.0,149,14.9,1163,201780.0,0,0,34.83691952573501,1,15.163080474264987,0,0,-1,0.0,0,120.0,180
21,scipy_mpc,34,10,24,3.4,6832,11280.0,208,20.8,1163,214260.0,0,0,30.048910587135804,1,19.951089412864192,0,0,-1,0.0,0,180.0,180
22,scipy_mpc,68,16,52,6.8,7172,15360.0,278,27.8,1163,230940.0,0,0,31.212325438765255,1,18.787674561234745,0,0,-1,0.0,0,240.0,180
23,scipy_mpc,80,22,58,8.0,7507,20160.0,326,32.6,1163,250500.0,0,0,31.24650772446706,1,18.753492275532942,0,0,-1,0.0,0,300.0,180
24,scipy_mpc,163,56,107,16.3,7789,29940.0,15,1.5,1525,251400.0,1,10,30.30700059205243,1,19.692999407947575,0,0,-1,0.0,0,0.0,180
25,scipy_mpc,171,61,110,17.1,8139,40200.0,85,8.5,1525,256500.0,0,0,31.127327413341515,1,18.872672586658485,0,0,-1,0.0,0,60.0,180
26,scipy_mpc,154,56,98,15.4,8491,49440.0,142,14.2,1525,265020.0,0,0,29.027594613026473,1,20.972405386973524,0,0,-1,0.0,0,120.0,180
27,scipy_mpc,184,75,109,18.4,8839,60480.0,201,20.1,1525,277080.0,0,0,28.04056139722032,1,21.95943860277968,0,0,-1,0.0,0,180.0,180
28,scipy_mpc,215,89,126,21.5,9175,73380.0,254,25.4,1525,292320.0,0,0,27.946956126016822,1,22.053043873983174,0,0,-1,0.0,0,240.0,180
29,scipy_mpc,207,86,121,20.7,9500,85800.0,303,30.3,1525,310500.0,0,0,29.734856675461067,1,20.26514332453893,0,0,-1,0.0,0,300.0,180
30,scipy_mpc,286,115,171,28.6,9791,102960.0,9,0.9,1887,311040.0,1,10,30.28749665283754,1,19.712503347162453,0,0,-1,0.0,0,0.0,180
31,scipy_mpc,274,121,153,27.4,10137,119400.0,69,6.9,1887,315180.0,0,0,26.966595602147557,1,23.033404397852443,0,0,-1,0.0,0,60.0,180
32,scipy_mpc,295,126,169,29.5,10474,137100.0,123,12.3,1887,322560.0,0,0,30.9067654735667,1,19.0932345264333,0,0,-1,0.0,0,120.0,180
33,scipy_mpc,298,131,167,29.8,10810,154980.0,182,18.2,1887,333480.0,0,0,31.523690498272373,1,18.476309501727627,0,0,-1,0.0,0,180.0,180
34,scipy_mpc,308,136,172,30.8,11151,173460.0,237,23.7,1887,347700.0,0,0,30.34803523179595,1,19.651964768204053,0,0,-1,0.0,0,240.0,180
35,scipy_mpc,327,139,188,32.7,11499,193080.0,297,29.7,1887,365520.0,0,0,31.711538365529243,1,18.288461634470757,0,0,-1,0.0,0,300.0,180
36,scipy_mpc,399,170,229,39.9,11786,217020.0,15,1.5,2224,366420.0,1,10,30.29831981651146,1,19.70168018348854,0,0,-1,0.0,0,0.0,180
37,scipy_mpc,389,169,220,38.9,12151,240360.0,78,7.8,2224,371100.0,0,0,28.808387156657055,1,21.191612843342945,0,0,-1,0.0,0,60.0,180
38,scipy_mpc,400,179,221,40.0,12508,264360.0,133,13.3,2224,379080.0,0,0,29.387322273564706,1,20.612677726435294,0,0,-1,0.0,0,120.0,180
39,scipy_mpc,370,162,208,37.0,12855,286560.0,187,18.7,2224,390300.0,0,0,27.821085280819396,1,22.178914719180604,0,0,-1,0.0,0,180.0,180
40,scipy_mpc,389,176,213,38.9,13199,309900.0,247,24.7,2224,405120.0,0,0,30.96335468305687,1,19.03664531694313,0,0,-1,0.0,0,240.0,180
41,scipy_mpc,369,159,210,36.9,13560,332040.0,305,30.5,2224,423420.0,0,0,29.55579876752416,1,20.44420123247584,0,0,-1,0.0,0,300.0,180
42,scipy_mpc,448,201,247,44.8,13846,358920.0,15,1.5,2579,424320.0,1,10,29.015125955307052,1,20.98487404469295,0,0,-1,0.0,0,0.0,180
43,scipy_mpc,471,211,260,47.1,14198,387180.0,91,9.1,2579,429780.0,0,0,29.83361061923544,1,20.166389380764556,0,0,-1,0.0,0,60.0,180
44,scipy_mpc,476,216,260,47.6,14556,415740.0,144,14.4,2579,438420.0,0,0,29.461504775352875,1,20.538495224647125,0,0,-1,0.0,0,120.0,180
45,scipy_mpc,600,250,350,60.0,14918,451740.0,203,20.3,2579,450600.0,0,0,33.271293818466816,1,16.72870618153319,0,0,-1,0.0,0,180.0,180
46,scipy_mpc,715,300,415,71.5,15282,494640.0,263,26.3,2579,466380.0,0,0,32.657702565175555,1,17.34229743482445,0,0,-1,0.0,0,240.0,180
47,scipy_mpc,902,403,499,90.2,15646,548760.0,324,32.4,2579,485820.0,0,0,32.21139313820409,1,17.788606861795916,0,0,-1,0.0,0,300.0,180
48,scipy_mpc,1158,534,624,115.8,15936,618240.0,21,2.1,2947,487080.0,1,10,30.88629620428057,1,19.11370379571943,0,0,-1,0.0,0,0.0,180
49,scipy_mpc,1305,609,696,130.5,16300,696540.0,79,7.9,2947,491820.0,0,0,31.182693570727555,1,18.81730642927245,0,0,-1,0.0,0,60.0,180
50,scipy_mpc,1519,707,812,151.9,16663,787680.0,139,13.9,2947,500160.0,0,0,31.335578024921,1,18.664421975079,0,0,-1,0.0,0,120.0,180
51,scipy_mpc,1696,786,910,169.6,17025,889440.0,192,19.2,2947,511680.0,0,0,32.08428911174848,1,17.915710888251525,0,0,-1,0.0,0,180.0,180
